Charging event,Chargepoint ID,Borough,Operator,Plug in Date and Time,Unplug Date and Time,Charge start Date and Time,Charge end Date and Time,Total kWh
38462,6189,Barnet,CityEV,31/03/2021 14:30,01/04/2021 05:24,31/03/2021 14:30,01/04/2021 05:24,32.276
38463,6104,Barnet,CityEV,31/03/2021 18:14,01/04/2021 05:31,31/03/2021 18:14,31/03/2021 23:36,17.832
38468,6169,Barnet,CityEV,01/04/2021 07:49,01/04/2021 17:14,01/04/2021 07:49,01/04/2021 12:59,14.417
38512,6188,Barnet,CityEV,01/04/2021 10:32,01/04/2021 13:36,01/04/2021 10:32,01/04/2021 13:36,8.916
38518,6189,Barnet,CityEV,01/04/2021 14:37,01/04/2021 14:37,01/04/2021 14:37,01/04/2021 14:37,0.015
38526,6118,Barnet,CityEV,01/04/2021 16:07,01/04/2021 19:26,01/04/2021 16:08,01/04/2021 19:16,8.383
38547,6101,Barnet,CityEV,01/04/2021 16:57,02/04/2021 05:48,01/04/2021 16:57,02/04/2021 05:48,44.462
38551,6189,Barnet,CityEV,01/04/2021 14:39,02/04/2021 07:50,01/04/2021 14:39,02/04/2021 07:50,26.126
38556,6109,Barnet,CityEV,01/04/2021 21:39,02/04/2021 09:16,01/04/2021 21:39,02/04/2021 00:49,7.944
38558,6123,Barnet,CityEV,02/04/2021 09:34,02/04/2021 12:49,02/04/2021 09:34,02/04/2021 12:48,11.777
38581,6187,Barnet,CityEV,02/04/2021 10:34,02/04/2021 12:41,02/04/2021 10:34,02/04/2021 12:41,7.334
38583,6104,Barnet,CityEV,02/04/2021 07:33,02/04/2021 13:02,02/04/2021 07:33,02/04/2021 12:44,9.022
38584,6155,Barnet,CityEV,02/04/2021 13:01,02/04/2021 13:07,02/04/2021 13:01,02/04/2021 13:06,0.298
38587,6109,Barnet,CityEV,02/04/2021 11:36,02/04/2021 13:35,02/04/2021 11:36,02/04/2021 13:03,4.073
38598,6101,Barnet,CityEV,02/04/2021 08:52,02/04/2021 14:59,02/04/2021 08:52,02/04/2021 13:57,16.693
38599,6101,Barnet,CityEV,02/04/2021 08:52,02/04/2021 14:59,02/04/2021 08:52,02/04/2021 13:57,16.693
38601,6101,Barnet,CityEV,02/04/2021 08:52,02/04/2021 14:59,02/04/2021 08:52,02/04/2021 13:57,16.693
38602,6101,Barnet,CityEV,02/04/2021 08:52,02/04/2021 14:59,02/04/2021 08:52,02/04/2021 13:57,16.693
38606,6155,Barnet,CityEV,02/04/2021 13:08,02/04/2021 15:10,02/04/2021 13:08,02/04/2021 15:10,6.97
38624,6168,Barnet,CityEV,02/04/2021 08:23,02/04/2021 18:13,02/04/2021 08:23,02/04/2021 11:57,10.17
38631,6127,Barnet,CityEV,02/04/2021 19:00,02/04/2021 21:29,02/04/2021 19:00,02/04/2021 21:29,8.397
38635,6118,Barnet,CityEV,02/04/2021 21:34,03/04/2021 06:06,02/04/2021 21:34,03/04/2021 06:06,29.845
38640,6189,Barnet,CityEV,02/04/2021 14:05,03/04/2021 08:37,02/04/2021 14:05,02/04/2021 19:58,17.07
38651,6136,Barnet,CityEV,03/04/2021 09:23,03/04/2021 10:48,03/04/2021 09:23,03/04/2021 10:48,5.346
38656,6136,Barnet,CityEV,03/04/2021 11:58,03/04/2021 17:36,03/04/2021 11:58,03/04/2021 17:24,19.212
38683,6187,Barnet,CityEV,03/04/2021 14:36,03/04/2021 18:24,03/04/2021 14:36,03/04/2021 17:12,8.512
38688,6104,Barnet,CityEV,03/04/2021 14:23,03/04/2021 18:54,03/04/2021 14:23,03/04/2021 18:40,12.821
