Charging event,Chargepoint ID,Borough,Operator,Plug in Date and Time,Unplug Date and Time,Charge start Date and Time,Charge end Date and Time,Total kWh
38689,6104,Barnet,CityEV,03/04/2021 14:23,03/04/2021 18:54,03/04/2021 14:23,03/04/2021 18:40,12.821
38692,6115,Barnet,CityEV,03/04/2021 16:12,03/04/2021 19:12,03/04/2021 16:12,03/04/2021 19:12,10.686
38709,6110,Barnet,CityEV,04/04/2021 09:27,04/04/2021 11:06,04/04/2021 09:27,04/04/2021 11:06,5.901
38711,6132,Barnet,CityEV,03/04/2021 10:44,04/04/2021 09:36,03/04/2021 10:44,03/04/2021 16:38,19.956
38713,6136,Barnet,CityEV,04/04/2021 10:11,04/04/2021 15:58,04/04/2021 10:11,04/04/2021 15:57,21.347
38714,6123,Barnet,CityEV,04/04/2021 10:34,04/04/2021 15:42,04/04/2021 10:34,04/04/2021 14:39,14.87
38723,6116,Barnet,CityEV,04/04/2021 09:54,04/04/2021 12:50,04/04/2021 09:54,04/04/2021 12:17,8.913
38729,6184,Barnet,CityEV,03/04/2021 19:40,04/04/2021 15:35,03/04/2021 19:40,04/04/2021 14:53,66.551
38748,6126,Barnet,CityEV,04/04/2021 16:28,04/04/2021 20:39,04/04/2021 16:28,04/04/2021 20:08,8.93
38749,6126,Barnet,CityEV,04/04/2021 16:28,04/04/2021 20:39,04/04/2021 16:28,04/04/2021 20:08,8.93
38750,6126,Barnet,CityEV,04/04/2021 16:28,04/04/2021 20:39,04/04/2021 16:28,04/04/2021 20:08,8.93
38751,6126,Barnet,CityEV,04/04/2021 16:28,04/04/2021 20:39,04/04/2021 16:28,04/04/2021 20:08,8.93
38762,6189,Barnet,CityEV,04/04/2021 17:28,05/04/2021 08:16,04/04/2021 17:28,05/04/2021 08:16,17.928
38774,6132,Barnet,CityEV,05/04/2021 08:10,05/04/2021 10:30,05/04/2021 08:10,05/04/2021 10:30,8.188
38785,6175,Barnet,CityEV,05/04/2021 12:40,05/04/2021 15:44,05/04/2021 12:40,05/04/2021 15:44,11.276
38788,6118,Barnet,CityEV,05/04/2021 14:06,05/04/2021 22:08,05/04/2021 14:06,05/04/2021 17:37,8.494
38799,6109,Barnet,CityEV,05/04/2021 12:09,05/04/2021 15:46,05/04/2021 12:09,05/04/2021 15:11,7.533
38804,6106,Barnet,CityEV,05/04/2021 15:01,05/04/2021 16:46,05/04/2021 15:01,05/04/2021 16:46,6.321
38813,6101,Barnet,CityEV,04/04/2021 17:32,05/04/2021 18:18,04/04/2021 17:33,04/04/2021 19:34,6.566
38853,6189,Barnet,CityEV,05/04/2021 18:35,06/04/2021 05:59,05/04/2021 18:35,06/04/2021 05:59,14.075
38855,6139,Barnet,CityEV,05/04/2021 14:19,06/04/2021 07:27,05/04/2021 14:19,06/04/2021 05:30,53.405
38887,6183,Barnet,CityEV,06/04/2021 16:18,06/04/2021 21:26,06/04/2021 16:18,06/04/2021 21:26,18.598
38901,6107,Barnet,CityEV,06/04/2021 17:06,06/04/2021 17:06,06/04/2021 17:06,06/04/2021 17:06,0
38902,6107,Barnet,CityEV,06/04/2021 17:06,06/04/2021 17:07,06/04/2021 17:06,06/04/2021 17:06,0
38920,6189,Barnet,CityEV,06/04/2021 18:47,07/04/2021 05:09,06/04/2021 18:48,07/04/2021 05:09,0.553
38921,6107,Barnet,CityEV,06/04/2021 17:08,07/04/2021 06:37,06/04/2021 17:08,07/04/2021 06:37,48.632
38936,6115,Barnet,CityEV,07/04/2021 10:23,07/04/2021 17:14,07/04/2021 10:23,07/04/2021 17:10,20.21
38955,6189,Barnet,CityEV,07/04/2021 12:55,07/04/2021 13:12,07/04/2021 12:55,07/04/2021 13:12,0.967
38962,6189,Barnet,CityEV,07/04/2021 13:49,07/04/2021 14:35,07/04/2021 13:49,07/04/2021 14:35,2.525
38970,6183,Barnet,CityEV,07/04/2021 15:51,07/04/2021 20:43,07/04/2021 15:51,07/04/2021 20:43,17.576
38982,6189,Barnet,CityEV,07/04/2021 15:40,07/04/2021 17:11,07/04/2021 15:40,07/04/2021 17:11,5.037
38984,6115,Barnet,CityEV,07/04/2021 17:23,07/04/2021 17:24,07/04/2021 17:23,07/04/2021 17:24,0
38988,6148,Barnet,CityEV,07/04/2021 17:41,07/04/2021 22:13,07/04/2021 17:41,07/04/2021 21:44,14.26
38996,6115,Barnet,CityEV,07/04/2021 18:00,07/04/2021 19:19,07/04/2021 18:00,07/04/2021 19:17,4.712
39020,6189,Barnet,CityEV,07/04/2021 17:16,08/04/2021 05:07,07/04/2021 17:16,08/04/2021 05:07,23.864
39023,6104,Barnet,CityEV,07/04/2021 17:59,08/04/2021 05:34,07/04/2021 17:59,07/04/2021 22:37,13.636
39040,6132,Barnet,CityEV,08/04/2021 08:21,08/04/2021 09:25,08/04/2021 08:21,08/04/2021 09:25,3.73
39042,6168,Barnet,CityEV,07/04/2021 18:29,08/04/2021 08:24,07/04/2021 18:29,08/04/2021 08:24,10.621
39054,6106,Barnet,CityEV,08/04/2021 06:11,08/04/2021 10:36,08/04/2021 06:11,08/04/2021 09:54,12.186
39101,6115,Barnet,CityEV,08/04/2021 16:18,08/04/2021 19:21,08/04/2021 16:18,08/04/2021 19:21,10.057
39112,6132,Barnet,CityEV,08/04/2021 17:20,09/04/2021 07:23,08/04/2021 17:20,08/04/2021 23:33,18.806
39118,6106,Barnet,CityEV,08/04/2021 15:36,08/04/2021 18:05,08/04/2021 15:36,08/04/2021 18:05,7.339
39127,6119,Barnet,CityEV,08/04/2021 14:09,08/04/2021 19:18,08/04/2021 14:09,08/04/2021 19:17,18.552
39144,6107,Barnet,CityEV,08/04/2021 16:30,09/04/2021 04:59,08/04/2021 16:30,09/04/2021 04:59,45.461
39146,6109,Barnet,CityEV,08/04/2021 19:45,09/04/2021 05:28,08/04/2021 19:45,09/04/2021 00:41,8.005
39147,6189,Barnet,CityEV,08/04/2021 15:53,09/04/2021 05:32,08/04/2021 15:53,09/04/2021 05:32,26.322
39153,6118,Barnet,CityEV,09/04/2021 08:07,09/04/2021 13:54,09/04/2021 08:07,09/04/2021 12:51,15.774
39171,6111,Barnet,CityEV,09/04/2021 09:01,09/04/2021 11:53,09/04/2021 09:01,09/04/2021 11:53,10.274
39181,6118,Barnet,CityEV,09/04/2021 08:07,09/04/2021 13:54,09/04/2021 08:07,09/04/2021 12:51,15.774
39182,6118,Barnet,CityEV,09/04/2021 08:07,09/04/2021 13:54,09/04/2021 08:07,09/04/2021 12:51,15.774
39183,6118,Barnet,CityEV,09/04/2021 08:07,09/04/2021 13:54,09/04/2021 08:07,09/04/2021 12:51,15.774
39212,6189,Barnet,CityEV,09/04/2021 16:22,09/04/2021 19:12,09/04/2021 16:23,09/04/2021 19:12,9.442
39214,6189,Barnet,CityEV,09/04/2021 19:22,09/04/2021 19:22,09/04/2021 19:22,09/04/2021 19:22,0
39215,6189,Barnet,CityEV,09/04/2021 19:23,09/04/2021 19:23,09/04/2021 19:23,09/04/2021 19:23,0
39230,6151,Barnet,CityEV,09/04/2021 09:46,10/04/2021 07:41,09/04/2021 09:46,10/04/2021 07:41,69.979
39239,6144,Barnet,CityEV,10/04/2021 11:03,11/04/2021 07:27,10/04/2021 11:03,11/04/2021 00:49,48.281
39248,6112,Barnet,CityEV,10/04/2021 09:23,10/04/2021 12:56,10/04/2021 09:23,10/04/2021 12:56,11.463
39283,6121,Barnet,CityEV,10/04/2021 18:07,10/04/2021 23:21,10/04/2021 18:08,10/04/2021 20:59,6.417
39284,6130,Barnet,CityEV,10/04/2021 14:05,10/04/2021 19:05,10/04/2021 14:05,10/04/2021 19:04,17.92
39300,6104,Barnet,CityEV,10/04/2021 16:47,11/04/2021 11:13,10/04/2021 16:47,10/04/2021 22:11,16.855
39303,6109,Barnet,CityEV,11/04/2021 07:48,11/04/2021 12:37,11/04/2021 07:48,11/04/2021 12:37,6.886
39316,6184,Barnet,CityEV,11/04/2021 14:14,12/04/2021 06:27,11/04/2021 14:14,12/04/2021 06:27,30.874
39321,6148,Barnet,CityEV,11/04/2021 14:37,11/04/2021 18:43,11/04/2021 14:37,11/04/2021 18:36,14.082
39325,6109,Barnet,CityEV,11/04/2021 13:51,11/04/2021 15:37,11/04/2021 13:51,11/04/2021 15:33,4.756
39328,6136,Barnet,CityEV,11/04/2021 15:55,12/04/2021 07:18,11/04/2021 15:55,11/04/2021 20:49,17.323
39332,6189,Barnet,CityEV,11/04/2021 14:32,11/04/2021 16:25,11/04/2021 14:32,11/04/2021 16:25,6.254
39333,6189,Barnet,CityEV,11/04/2021 14:32,11/04/2021 16:25,11/04/2021 14:32,11/04/2021 16:25,6.254
39334,6189,Barnet,CityEV,11/04/2021 14:32,11/04/2021 16:25,11/04/2021 14:32,11/04/2021 16:25,6.254
39335,6189,Barnet,CityEV,11/04/2021 14:32,11/04/2021 16:25,11/04/2021 14:32,11/04/2021 16:25,6.254
39350,6142,Barnet,CityEV,11/04/2021 16:27,11/04/2021 20:13,11/04/2021 16:27,11/04/2021 20:13,12.98
39351,6142,Barnet,CityEV,11/04/2021 16:27,11/04/2021 20:13,11/04/2021 16:27,11/04/2021 20:13,12.98
39352,6142,Barnet,CityEV,11/04/2021 16:27,11/04/2021 20:13,11/04/2021 16:27,11/04/2021 20:13,12.98
39358,6189,Barnet,CityEV,11/04/2021 17:10,12/04/2021 05:11,11/04/2021 17:10,12/04/2021 05:11,15.227
39366,6101,Barnet,CityEV,11/04/2021 19:15,12/04/2021 07:34,11/04/2021 19:15,12/04/2021 07:33,42.519
39418,6115,Barnet,CityEV,12/04/2021 15:59,12/04/2021 16:00,12/04/2021 15:59,12/04/2021 15:59,0
39422,6112,Barnet,CityEV,12/04/2021 16:12,12/04/2021 20:09,12/04/2021 16:12,12/04/2021 20:09,12.824
39443,6130,Barnet,CityEV,12/04/2021 11:13,12/04/2021 20:14,12/04/2021 11:13,12/04/2021 20:14,23.071
39445,6116,Barnet,CityEV,12/04/2021 20:49,13/04/2021 00:12,12/04/2021 20:49,13/04/2021 00:10,11.647
39446,6121,Barnet,CityEV,12/04/2021 17:04,12/04/2021 20:57,12/04/2021 17:04,12/04/2021 19:31,5.403
39449,6132,Barnet,CityEV,12/04/2021 21:31,13/04/2021 06:41,12/04/2021 21:31,13/04/2021 06:41,30.723
39454,6189,Barnet,CityEV,12/04/2021 16:36,13/04/2021 05:03,12/04/2021 16:36,13/04/2021 05:03,25.881
39458,6147,Barnet,CityEV,13/04/2021 07:25,13/04/2021 14:56,13/04/2021 07:26,13/04/2021 10:56,8.348
39466,6103,Barnet,CityEV,13/04/2021 09:00,13/04/2021 12:25,13/04/2021 09:00,13/04/2021 11:38,8.38
39473,6193,Barnet,CityEV,13/04/2021 09:27,13/04/2021 11:19,13/04/2021 09:27,13/04/2021 11:19,6.489
39484,6183,Barnet,CityEV,13/04/2021 12:33,13/04/2021 18:25,13/04/2021 12:34,13/04/2021 18:25,21.082
39515,6116,Barnet,CityEV,13/04/2021 16:30,13/04/2021 19:48,13/04/2021 18:38,13/04/2021 19:48,4.553
39529,6168,Barnet,CityEV,13/04/2021 13:22,13/04/2021 18:44,13/04/2021 13:22,13/04/2021 18:44,10.194
39535,6116,Barnet,CityEV,13/04/2021 21:02,13/04/2021 23:26,13/04/2021 21:02,13/04/2021 23:18,7.75
39537,6116,Barnet,CityEV,13/04/2021 21:02,13/04/2021 23:26,13/04/2021 21:02,13/04/2021 23:18,7.75
39538,6116,Barnet,CityEV,13/04/2021 21:02,13/04/2021 23:26,13/04/2021 21:02,13/04/2021 23:18,7.75
39539,6116,Barnet,CityEV,13/04/2021 21:02,13/04/2021 23:26,13/04/2021 21:02,13/04/2021 23:18,7.75
39542,6109,Barnet,CityEV,13/04/2021 17:22,14/04/2021 05:22,13/04/2021 17:22,14/04/2021 00:41,5.508
39543,6182,Barnet,CityEV,13/04/2021 19:41,14/04/2021 05:34,13/04/2021 19:41,14/04/2021 00:47,14.482
39544,6189,Barnet,CityEV,13/04/2021 15:30,14/04/2021 05:42,13/04/2021 15:30,14/04/2021 05:42,31.262
39546,6116,Barnet,CityEV,14/04/2021 06:53,14/04/2021 06:56,14/04/2021 06:53,14/04/2021 06:55,0.14
39575,6183,Barnet,CityEV,14/04/2021 09:45,14/04/2021 15:31,14/04/2021 09:45,14/04/2021 15:07,18.662
39592,6101,Barnet,CityEV,14/04/2021 06:32,14/04/2021 11:22,14/04/2021 06:32,14/04/2021 11:04,14.495
39597,6138,Barnet,CityEV,13/04/2021 14:31,14/04/2021 12:06,13/04/2021 14:31,13/04/2021 16:37,6.575
39621,6136,Barnet,CityEV,14/04/2021 07:20,14/04/2021 18:27,14/04/2021 07:20,14/04/2021 18:27,33.605
39624,6119,Barnet,CityEV,14/04/2021 16:37,14/04/2021 19:09,14/04/2021 16:37,14/04/2021 19:09,9.176
39641,6189,Barnet,CityEV,14/04/2021 16:41,15/04/2021 05:06,14/04/2021 16:41,15/04/2021 05:06,28.025
39656,6142,Barnet,CityEV,14/04/2021 17:30,15/04/2021 08:29,14/04/2021 17:30,14/04/2021 22:41,16.205
39658,6161,Barnet,CityEV,15/04/2021 08:30,15/04/2021 08:52,15/04/2021 08:30,15/04/2021 08:52,0.639
39721,6148,Barnet,CityEV,15/04/2021 18:35,15/04/2021 21:17,15/04/2021 18:35,15/04/2021 21:00,6.782
39732,6189,Barnet,CityEV,15/04/2021 15:33,16/04/2021 06:49,15/04/2021 15:33,16/04/2021 06:49,31.487
39736,6168,Barnet,CityEV,15/04/2021 19:05,16/04/2021 07:33,15/04/2021 19:05,16/04/2021 07:33,10.323
39763,6175,Barnet,CityEV,16/04/2021 11:31,16/04/2021 13:59,16/04/2021 11:31,16/04/2021 13:59,7.488
39768,6101,Barnet,CityEV,16/04/2021 09:25,16/04/2021 12:13,16/04/2021 09:25,16/04/2021 12:12,9.118
39786,6108,Barnet,CityEV,16/04/2021 14:52,16/04/2021 14:58,16/04/2021 14:52,16/04/2021 14:58,0.359
39802,6116,Barnet,CityEV,16/04/2021 12:47,16/04/2021 16:23,16/04/2021 12:47,16/04/2021 16:00,11.591
39830,6101,Barnet,CityEV,16/04/2021 14:37,16/04/2021 18:37,16/04/2021 14:37,16/04/2021 16:42,6.528
39846,6182,Barnet,CityEV,16/04/2021 21:57,17/04/2021 05:47,16/04/2021 21:57,17/04/2021 03:50,17.455
39864,6143,Barnet,CityEV,17/04/2021 11:06,17/04/2021 15:17,17/04/2021 11:06,17/04/2021 15:16,15.229
39869,6121,Barnet,CityEV,17/04/2021 11:47,17/04/2021 17:25,17/04/2021 11:47,17/04/2021 13:55,4.909
39876,6136,Barnet,CityEV,17/04/2021 09:37,17/04/2021 12:59,17/04/2021 09:37,17/04/2021 12:43,9.941
39877,6136,Barnet,CityEV,17/04/2021 09:37,17/04/2021 12:59,17/04/2021 09:37,17/04/2021 12:43,9.941
39878,6136,Barnet,CityEV,17/04/2021 09:37,17/04/2021 12:59,17/04/2021 09:37,17/04/2021 12:43,9.941
39879,6136,Barnet,CityEV,17/04/2021 09:37,17/04/2021 12:59,17/04/2021 09:37,17/04/2021 12:43,9.941
39886,6136,Barnet,CityEV,17/04/2021 14:39,18/04/2021 07:40,17/04/2021 14:40,17/04/2021 20:33,21.064
39891,6172,Barnet,CityEV,17/04/2021 15:12,17/04/2021 20:59,17/04/2021 15:12,17/04/2021 20:59,21.253
39895,6153,Barnet,CityEV,17/04/2021 15:45,17/04/2021 20:02,17/04/2021 15:45,17/04/2021 19:40,10.538
39901,6193,Barnet,CityEV,17/04/2021 10:19,17/04/2021 16:45,17/04/2021 10:19,17/04/2021 12:34,7.232
39908,6116,Barnet,CityEV,17/04/2021 16:20,17/04/2021 17:42,17/04/2021 16:20,17/04/2021 17:42,5.11
39918,6132,Barnet,CityEV,17/04/2021 20:22,17/04/2021 20:26,17/04/2021 20:22,17/04/2021 20:23,0.04
39920,6132,Barnet,CityEV,17/04/2021 20:27,18/04/2021 05:24,17/04/2021 20:27,17/04/2021 20:27,0.021
39934,6138,Barnet,CityEV,17/04/2021 20:51,18/04/2021 08:54,17/04/2021 20:51,18/04/2021 08:54,42.024
39977,6182,Barnet,CityEV,18/04/2021 11:38,18/04/2021 15:42,18/04/2021 11:38,18/04/2021 14:46,8.137
39985,6132,Barnet,CityEV,18/04/2021 18:42,19/04/2021 08:43,18/04/2021 18:42,19/04/2021 08:43,43.669
39991,6109,Barnet,CityEV,18/04/2021 17:15,18/04/2021 20:12,18/04/2021 17:15,18/04/2021 20:11,8.203
39992,6138,Barnet,CityEV,18/04/2021 15:42,18/04/2021 20:17,18/04/2021 15:42,18/04/2021 17:43,6.368
39995,6116,Barnet,CityEV,18/04/2021 14:00,18/04/2021 23:38,18/04/2021 14:00,18/04/2021 17:21,12.596
39998,6189,Barnet,CityEV,18/04/2021 16:07,19/04/2021 04:59,18/04/2021 16:07,19/04/2021 04:59,26.515
40001,6118,Barnet,CityEV,18/04/2021 18:56,19/04/2021 06:25,18/04/2021 18:56,19/04/2021 00:06,18.177
40004,6147,Barnet,CityEV,19/04/2021 07:37,19/04/2021 11:26,19/04/2021 07:37,19/04/2021 11:15,8.436
40007,6170,Barnet,CityEV,18/04/2021 22:42,19/04/2021 08:24,18/04/2021 22:42,19/04/2021 07:39,31.758
40021,6122,Barnet,CityEV,17/04/2021 18:04,17/04/2021 18:04,17/04/2021 18:04,17/04/2021 18:04,0
40058,6146,Barnet,CityEV,19/04/2021 10:13,19/04/2021 16:01,19/04/2021 10:13,19/04/2021 16:01,20.351
40060,6151,Barnet,CityEV,19/04/2021 16:08,19/04/2021 20:23,19/04/2021 16:08,19/04/2021 20:23,14.583
40063,6175,Barnet,CityEV,19/04/2021 16:32,19/04/2021 18:44,19/04/2021 16:32,19/04/2021 18:44,7.411
40090,6189,Barnet,CityEV,19/04/2021 16:15,20/04/2021 04:59,19/04/2021 16:15,20/04/2021 04:59,25.241
40097,6147,Barnet,CityEV,20/04/2021 07:38,20/04/2021 12:04,20/04/2021 07:38,20/04/2021 10:42,7.546
40123,6121,Barnet,CityEV,20/04/2021 11:03,20/04/2021 13:32,20/04/2021 11:03,20/04/2021 13:28,7.052
40142,6175,Barnet,CityEV,20/04/2021 16:23,20/04/2021 16:24,20/04/2021 16:23,20/04/2021 16:23,0.043
40143,6175,Barnet,CityEV,20/04/2021 16:24,21/04/2021 08:28,20/04/2021 16:24,20/04/2021 22:47,18.994
40169,6168,Barnet,CityEV,20/04/2021 17:13,20/04/2021 20:04,20/04/2021 17:13,20/04/2021 20:04,9.883
40175,6189,Barnet,CityEV,20/04/2021 16:58,21/04/2021 04:46,20/04/2021 16:58,21/04/2021 04:46,22.337
40178,6107,Barnet,CityEV,20/04/2021 17:11,21/04/2021 06:51,20/04/2021 17:11,21/04/2021 06:51,49.87
40193,6155,Barnet,CityEV,21/04/2021 10:22,21/04/2021 10:23,21/04/2021 10:22,21/04/2021 10:23,0.013
40206,6155,Barnet,CityEV,21/04/2021 10:23,21/04/2021 12:27,21/04/2021 10:23,21/04/2021 12:27,7.071
40207,6123,Barnet,CityEV,21/04/2021 13:28,21/04/2021 19:23,21/04/2021 13:28,21/04/2021 17:36,15.104
40214,6193,Barnet,CityEV,21/04/2021 08:13,21/04/2021 14:02,21/04/2021 08:13,21/04/2021 10:25,7.097
40242,6168,Barnet,CityEV,21/04/2021 15:16,21/04/2021 17:48,21/04/2021 15:16,21/04/2021 17:48,8.822
40261,6189,Barnet,CityEV,21/04/2021 16:08,22/04/2021 04:53,21/04/2021 16:08,22/04/2021 04:53,29.002
40263,6104,Barnet,CityEV,21/04/2021 18:19,22/04/2021 05:31,21/04/2021 18:19,21/04/2021 23:27,16.23
40268,6118,Barnet,CityEV,22/04/2021 07:41,22/04/2021 13:10,22/04/2021 07:41,22/04/2021 11:05,8.299
40337,6112,Barnet,CityEV,22/04/2021 13:09,22/04/2021 14:10,22/04/2021 13:09,22/04/2021 14:10,3.915
40386,6151,Barnet,CityEV,22/04/2021 15:55,22/04/2021 17:19,22/04/2021 15:55,22/04/2021 17:19,4.789
40409,6118,Barnet,CityEV,22/04/2021 21:42,23/04/2021 06:21,22/04/2021 21:42,23/04/2021 00:06,8.361
40410,6189,Barnet,CityEV,22/04/2021 16:04,23/04/2021 06:47,22/04/2021 16:04,23/04/2021 00:28,25.79
40425,6118,Barnet,CityEV,23/04/2021 06:22,23/04/2021 10:10,23/04/2021 06:22,23/04/2021 10:10,13.24
40426,6118,Barnet,CityEV,23/04/2021 06:22,23/04/2021 10:10,23/04/2021 06:22,23/04/2021 10:10,13.24
40427,6118,Barnet,CityEV,23/04/2021 06:22,23/04/2021 10:10,23/04/2021 06:22,23/04/2021 10:10,13.24
40428,6118,Barnet,CityEV,23/04/2021 06:22,23/04/2021 10:10,23/04/2021 06:22,23/04/2021 10:10,13.24
40443,6143,Barnet,CityEV,23/04/2021 08:02,23/04/2021 12:39,23/04/2021 08:02,23/04/2021 12:39,15.658
40484,6151,Barnet,CityEV,23/04/2021 08:58,23/04/2021 14:57,23/04/2021 08:58,23/04/2021 14:57,21.208
40503,6118,Barnet,CityEV,23/04/2021 14:27,23/04/2021 17:02,23/04/2021 14:27,23/04/2021 16:53,7.947
40507,6151,Barnet,CityEV,23/04/2021 17:42,23/04/2021 21:11,23/04/2021 17:42,23/04/2021 21:11,11.971
40514,6168,Barnet,CityEV,23/04/2021 15:54,23/04/2021 19:34,23/04/2021 15:55,23/04/2021 19:34,12.836
40515,6168,Barnet,CityEV,23/04/2021 15:54,23/04/2021 19:34,23/04/2021 15:55,23/04/2021 19:34,12.836
40516,6168,Barnet,CityEV,23/04/2021 15:54,23/04/2021 19:34,23/04/2021 15:55,23/04/2021 19:34,12.836
40517,6168,Barnet,CityEV,23/04/2021 15:54,23/04/2021 19:34,23/04/2021 15:55,23/04/2021 19:34,12.836
40523,6151,Barnet,CityEV,23/04/2021 21:52,23/04/2021 21:59,23/04/2021 21:52,23/04/2021 21:59,0.411
40533,6132,Barnet,CityEV,23/04/2021 17:41,24/04/2021 07:58,23/04/2021 17:41,23/04/2021 22:01,14.509
40569,6132,Barnet,CityEV,24/04/2021 13:00,25/04/2021 05:11,24/04/2021 13:00,24/04/2021 18:59,19.181
40574,6187,Barnet,CityEV,24/04/2021 11:17,24/04/2021 13:44,24/04/2021 11:17,24/04/2021 13:44,8.282
40578,6139,Barnet,CityEV,24/04/2021 10:31,24/04/2021 14:30,24/04/2021 10:31,24/04/2021 14:30,14.419
40581,6127,Barnet,CityEV,24/04/2021 14:42,24/04/2021 14:47,24/04/2021 14:43,24/04/2021 14:46,0.182
40582,6136,Barnet,CityEV,24/04/2021 14:48,24/04/2021 22:32,24/04/2021 14:48,24/04/2021 22:05,26.517
40614,6116,Barnet,CityEV,24/04/2021 09:11,25/04/2021 07:21,24/04/2021 09:11,25/04/2021 03:07,64.654
40617,6139,Barnet,CityEV,24/04/2021 15:55,25/04/2021 08:49,24/04/2021 15:55,25/04/2021 06:00,49.066
40624,6184,Barnet,CityEV,24/04/2021 11:57,25/04/2021 09:56,24/04/2021 11:57,25/04/2021 06:53,64.809
40625,6184,Barnet,CityEV,24/04/2021 11:57,25/04/2021 09:56,24/04/2021 11:57,25/04/2021 06:53,64.809
40626,6184,Barnet,CityEV,24/04/2021 11:57,25/04/2021 09:56,24/04/2021 11:57,25/04/2021 06:53,64.809
40627,6184,Barnet,CityEV,24/04/2021 11:57,25/04/2021 09:56,24/04/2021 11:57,25/04/2021 06:53,64.809
40632,6133,Barnet,CityEV,24/04/2021 11:29,25/04/2021 10:14,24/04/2021 11:30,24/04/2021 22:31,38.033
40635,6101,Barnet,CityEV,25/04/2021 07:05,25/04/2021 10:38,25/04/2021 07:05,25/04/2021 09:05,6.568
40666,6123,Barnet,CityEV,25/04/2021 16:10,25/04/2021 19:23,25/04/2021 16:10,25/04/2021 19:03,10.432
40673,6148,Barnet,CityEV,25/04/2021 17:25,25/04/2021 20:27,25/04/2021 17:25,25/04/2021 19:46,6.931
40676,6187,Barnet,CityEV,25/04/2021 15:56,25/04/2021 17:56,25/04/2021 15:56,25/04/2021 17:55,6.801
